name,symbol,has_intraday,has_eod,country,stock_exchange.name,stock_exchange.acronym,stock_exchange.mic,stock_exchange.country,stock_exchange.country_code,stock_exchange.city,stock_exchange.website
Broadcom Inc,AVGO,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Texas Instruments Inc,TXN,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Novo Nordisk,NVO,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Union Pacific Corp,UNP,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Royal Bank Of Canada,RY,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
BP plc,BP,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Lockheed Martin Corp,LMT,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
American Tower Corp,AMT,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Linde Plc.,LIN,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
GSK Plc,GSK,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Danaher Corp,DHR,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Charter Communications Inc - Class A,CHTR,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
HDFC Bank Ltd,HDB,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
General Electric Company,GE,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Starbucks Corp,SBUX,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Anheuser-Busch InBev SA/NV,BUD,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Gilead Sciences Inc,GILD,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
Toronto Dominion Bank,TD,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Sinopec Shanghai Petrochemical Co. Ltd,SHI,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Qualcomm Inc,QCOM,False,True,,NASDAQ Stock Exchange,NASDAQ,XNAS,USA,US,New York,www.nasdaq.com
American Express Company,AXP,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
ROYAL DUTCH SHELL ADR EA REP 2 CL'A' EUR0.07,RDS.A,False,False,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Fidelity National Information Services Inc,FIS,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
British American Tobacco Plc,BTI,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
3M Company,MMM,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Lowe`s Cos. Inc,LOW,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
Diageo plc,DEO,False,True,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
ROYAL DUTCH SHELL ADR EA REP 2 CL'B' EUR0.07,RDS.B,False,False,,New York Stock Exchange,NYSE,XNYS,USA,US,New York,www.nyse.com
