open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
163.32,166.15,163.26,165.85,20481303.0,166.15,163.26,165.85,163.32,20481303.0,1.0,0.0,GOOGL,XNAS,2024-09-30T00:00:00+0000
162.81,165.7,162.6261,163.95,21101307.0,165.7,162.6261,163.95,162.81,21101307.0,1.0,0.0,GOOGL,XNAS,2024-09-27T00:00:00+0000
163.64,164.08,162.28,162.73,20319336.0,164.08,162.28,162.73,163.64,20319336.0,1.0,0.0,GOOGL,XNAS,2024-09-26T00:00:00+0000
161.47,162.81,161.3,161.49,18869199.0,162.81,161.3,161.49,161.47,18869199.0,1.0,0.0,GOOGL,XNAS,2024-09-25T00:00:00+0000
163.03,163.2158,160.69,162.29,23332147.0,163.2158,160.69,162.29,163.03,23332147.0,1.0,0.0,GOOGL,XNAS,2024-09-24T00:00:00+0000
164.35,165.49,161.67,161.85,24150852.0,165.49,161.67,161.85,164.35,24150852.0,1.0,0.0,GOOGL,XNAS,2024-09-23T00:00:00+0000
163.5,163.73,162.06,163.59,40896438.0,163.73,162.06,163.59,163.5,40896438.0,1.0,0.0,GOOGL,XNAS,2024-09-20T00:00:00+0000
163.71,163.79,161.34,162.14,26587733.0,163.79,161.34,162.14,163.71,26587733.0,1.0,0.0,GOOGL,XNAS,2024-09-19T00:00:00+0000
159.86,160.5,158.595,159.81,23677315.0,160.5,158.595,159.81,159.86,23677315.0,1.0,0.0,GOOGL,XNAS,2024-09-18T00:00:00+0000
159.02,160.55,158.375,159.32,20715612.0,160.55,158.375,159.32,159.02,20715612.0,1.0,0.0,GOOGL,XNAS,2024-09-17T00:00:00+0000
157.31,158.25,156.6,158.06,18379775.0,158.25,156.6,158.06,157.31,18379775.0,1.0,0.0,GOOGL,XNAS,2024-09-16T00:00:00+0000
155.43,158.38,155.21,157.46,29591150.0,158.38,155.21,157.46,155.43,29591152.0,1.0,0.0,GOOGL,XNAS,2024-09-13T00:00:00+0000
153.8,154.82,152.65,154.69,29695051.0,154.82,152.65,154.69,153.8,29695048.0,1.0,0.0,GOOGL,XNAS,2024-09-12T00:00:00+0000
149.92,151.5,147.52,151.16,29607689.0,151.5,147.52,151.16,149.92,29607693.0,1.0,0.0,GOOGL,XNAS,2024-09-11T00:00:00+0000
150.45,151.27,148.34,148.66,31118770.0,151.27,148.34,148.66,150.45,31118765.0,1.0,0.0,GOOGL,XNAS,2024-09-10T00:00:00+0000
152.51,153.4,147.215,148.71,39260449.0,153.4,147.215,148.71,152.51,39260451.0,1.0,0.2,GOOGL,XNAS,2024-09-09T00:00:00+0000
157.3,157.83,150.55,150.92,37912129.0,157.83,150.55,150.72,157.3,37912130.0,1.0,0.0,GOOGL,XNAS,2024-09-06T00:00:00+0000
156.3,159.45,155.9805,157.24,18688747.0,159.45,155.9805,157.24,156.3,18688747.0,1.0,0.0,GOOGL,XNAS,2024-09-05T00:00:00+0000
156.655,159.0,155.9616,156.45,19353759.0,159.0,155.9616,156.45,156.655,19197458.0,1.0,0.0,GOOGL,XNAS,2024-09-04T00:00:00+0000
161.72,161.85,156.48,157.36,38945301.0,161.85,156.48,157.36,161.72,38945301.0,1.0,0.0,GOOGL,XNAS,2024-09-03T00:00:00+0000
